DR_ID	DR_N_2011	URBAN_AREA_FOOTPRINT	MACRO_AREA_FOOTPRINT	SHARE_UA_WITHIN_MA	MACRO_AREA_COMPACITY	AIR_FLOWS	BANKING	BICYCLE	BIG_HHLDS	CAR	CHILDREN	COAST_DIST	DENSITY	URB_DENS	EV_BANKING	EV_BICYCLE	EV_BIG_HHLDS	EV_CAR	EV_CHILDREN	EV_HOME_OWN	EV_HOME_OWN_SC	EV_LITERACY	EV_MALES_RATIO	EV_MOT_2W	EV_NO_ASSETS	EV_PHONE	EV_POPULATION	EV_RES_WELLF	EV_RES_WELLF_SC	EV_SEC_TER_FEM_WORKERS	EV_SEC_TER_WORKERS	EV_SMALL_HHLDS	HOME_OWN	HOME_OWN_SC	HW_DISTANCE	LITERACY	MALES_RATIO	METRO_DISTANCE	MOT_2W	NB_MAJOR_URB_AREAS	NB_URBAN_AREAS	NO_ASSETS	OUTLETS	PHONE	POPULATION	RAILWAY	RES_WELLF	RES_WELLF_SC	SEC_TER_FEM_WORKERS	SEC_TER_WORKERS	SEZ	SIZE_MAIN_MACRO_AREA	SMALL_HHLDS	UNIVERSITIES	POP_SC	EV_POP_SC
32	Badgam	6,98	17,35	99,37	39,97	0	53,87	10,09	73,13	5,13	20,59	1249	590,2466431	2073,434326	33,77	-2,23	-0,15	2,84	5,09	0,19	52,15	8,59	0,9976	1,85	-12,2	68,89	24,14	3,65	-20,4	-9,07	2,83	-0,67	98,81	85,48	18	44,53	52,81	634	5,89	1	10	11,82	0	72,77	753745	4	43,13	29,64	8,46	57,22	0	7	3,04	0	0,05	-0,03
33	Bagalkot	0,7	5,43	33,71	4,33	0	63,29	43,3	36,4	2,74	14,39	199	284,6011963	21303,64844	16,52	7,72	-7,16	1,15	-1,65	-2,19	-3,32	10,8	-0,2255	10,46	-19,8	58,95	14,4	-4,13	-2,65	1,04	3,99	0,15	80,78	85,93	106	58,92	50,28	330	19,49	0	51	18,6	0	65,93	1889752	5	30,39	21,87	8,98	38,95	0	5	11,95	0	16,89	1,72
34	Bageshwar	0,31	0	0	NA	0	82,17	1,69	29,58	1,99	13,68	1097	113,9403763	2085,285645	24,26	0,6	-8,25	1,15	-2,84	-0,61	-0,83	9,55	0,3302	2,41	-8,96	59,36	4,18	5,36	-0,22	1,32	1,44	2,62	93,39	94,9	157	69,06	47,84	297	3,47	0	1	26,73	0	61,28	259898	0	68,43	49,1	4,72	23,88	0	0	16,2	0	27,73	1,86
35	Baghpat	3,27	89,46	99,77	3,64	0	71,49	55,34	55,98	6,42	14,96	867	978,2642822	18543,04492	18,86	-1,5	-8,32	4,57	-2,67	-1,46	-1,33	8,33	-0,4052	10,73	-12,7	68,56	11,95	0,39	0,85	0,91	10,44	0,79	94,8	93,49	23	61,24	53,73	51	20,76	0	64	10,12	0	75,22	1303048	6	44,48	30,08	7,8	52,19	0	42	6,93	0	11,44	0,46
36	Bahraich	0,91	2,36	23,23	8,92	0	65,3	66,82	48,61	2,26	18,77	891	710,187561	24313,91016	36,96	3,69	-4,72	1,13	-1,68	0,5	0,31	12,13	-0,6943	4,49	-10,5	42,25	46,48	0,29	-0,34	2,02	3,98	0,57	97,87	98,33	74	40,09	52,87	429	8,7	1	44	18,53	1	45,44	3487731	14	29,47	29,25	4,02	20,75	0	2	12,51	0	14,6	0,21
37	Baksa	7,16	10,08	77,91	55,32	0	33,59	72,24	33,46	1,3	12,93	432	378,0640564	384,8154297	15,6	3,86	-9,61	0,68	-2,29	0,44	0,29	9,74	-0,1601	3,52	-10,79	46,81	10,74	4,82	4,1	-0,48	3,35	0,42	96,45	96,04	14	60,29	50,66	548	6,25	0	8	15,89	0	45,14	950075	0	43,42	36,72	11,73	40,04	0	2	7,86	0	7,69	-0,14
38	Balaghat	0,21	0	0	NA	0	38,5	64,02	24,77	1,03	12,51	544	184,2861176	15180,6084	20,42	10,39	-10,6	0,13	-2,9	2,24	1,95	9,32	0,0402	4,77	-13,5	22,85	13,6	9,36	9,95	-0,75	-1,81	3,69	93,05	89,01	85	67,44	49,49	533	11,71	0	14	26,99	0	25,59	1701698	11	47,05	50,86	5,03	19,65	0	0	16,83	0	7,37	-0,38
39	Balangir	0,36	0	0	NA	0	31,15	68,54	18,17	1,07	13,12	232	251,1800385	9177,415039	19,31	15,42	-9,28	0,34	-1,22	-0,07	-0,61	8,52	-0,0634	5,3	-19,1	26,62	23,32	5,09	4,46	-1,17	2,68	3,91	93,56	94,13	109	56,23	50,34	580	10,07	0	10	23,46	0	29,06	1648997	11	53,44	47,39	5,7	31,59	0	0	21,14	0	17,88	0,95
40	Baleshwar	3,28	9,93	92,29	30,51	0	47,59	69,04	23,2	1,62	12,44	12	618,3131104	3297,841553	22,76	7,47	-14,5	0,87	-2,19	0,53	-0,14	9,63	-0,0983	7,62	-13,7	44,75	14,62	4,98	3,3	-0,85	-2,28	2,46	94,94	96,49	1	69,86	51,1	190	14,24	0	15	17,96	3	48,39	2320529	10	35,82	30,39	4,71	30,63	0	1	14,08	0	20,62	1,78
41	Ballia	2,68	56,88	99,48	4,69	0	76,69	67,21	62,11	2,25	14,56	565	1072,062866	15278,96191	28,24	4,14	-8,29	0,55	-4,16	0,04	-0,25	13,58	0,4427	7,4	-15,5	68,32	17,31	-0,35	-1,8	5	12,3	0,52	97,94	98,12	73	60,61	51,64	569	13,57	0	85	12,53	1	71,06	3239774	11	36,98	26,07	9,71	42,06	0	62	6,06	0	15,27	-1,19
